Date,Retailer,Volume_Sales_PL,Volume_Sales_SI,Price_PL,Price_SI,Private Label,Base_Price_SI,Promo_Intensity_SI,Week_Number,Month,Spring,Summer,Fall,Promo_Depth_SI,Log_Volume_Sales_SI,Log_Price_SI,Log_Price_PL,Log_Base_Price_SI,has_promo,has_competitor
2023-01-08,BJ's,87991.86719999996,23552.0,10.245911035541905,18.324736752717392,10.254282367677831,18.342657619214066,0.80078125,1,1,0,0,0,-0.0009770049067426845,10.066966021528604,2.908251882197083,2.32687870263156,2.9092293646842102,1,1
2023-01-15,BJ's,88831.48760000002,26220.0,10.267233915590756,18.276732265446224,10.28991061461178,18.30894836435073,0.4681159420289855,2,1,0,0,0,-0.0017595821596850802,10.174277757317691,2.905628789950574,2.3289576513036905,2.907389921993312,1,1
2023-01-22,BJ's,88332.40140000002,25728.0,10.253520065386764,18.20638914800995,10.256446305579688,18.262958646113216,0.6826803482587065,3,1,0,0,0,-0.0030974991073149383,10.155335171978694,2.9017725845668414,2.3276210676422613,2.904874890853906,1,1
2023-01-29,BJ's,82881.26039999998,23336.0,10.257748340514732,18.227249742886528,10.275589749793472,18.27741615092081,0.6169866300994172,4,1,0,0,0,-0.002744721005422557,10.057752511547557,2.9029177129586894,2.3280333556689388,2.905666207617476,1,1
2023-02-05,BJ's,81328.7838,23856.0,10.30130522445591,18.28359238765929,10.296665312486814,18.322604985015445,1.0,5,2,0,0,0,-0.0021292058300694805,10.07979103700452,2.906004066831109,2.3322706080281472,2.908135542642656,1,1
2023-02-12,BJ's,86824.89340000002,24880.0,10.333272142421386,18.29070498392283,10.323603733012309,18.315332824032787,0.7768488745980707,6,2,0,0,0,-0.0013446569792956442,10.121819546853116,2.9063930064342918,2.335368994098347,2.9077385682760273,1,1
2023-02-19,BJ's,80791.10151928867,21801.810304164886,10.262146558981948,18.48245522047472,10.255634943702168,18.52707964459564,1.0,7,2,0,0,0,-0.002408605402305808,9.98974828680488,2.916821915639459,2.3284620341349944,2.919233426397932,1,1
2023-02-26,BJ's,89077.62877015832,22379.86269044876,10.250264902777277,18.479611409905708,10.242882842732685,18.536578613314198,1.0,8,2,0,0,0,-0.0030732318297170824,10.015916846478406,2.91666803838995,2.327303549423855,2.9197460022942687,1,1
2023-03-05,BJ's,93662.43997746438,22256.74418568611,10.282861097611296,18.544109167232172,10.262163328413827,18.590651410796294,0.7277392096455155,9,3,1,0,0,-0.0025035294641204686,10.010400351135031,2.9201521735101896,2.3304785381923168,2.9226588420444632,1,1
2023-03-12,BJ's,92340.2407536172,23320.534722328182,10.307556655735636,18.60134210851472,10.270663454552317,18.654042542256857,0.883100640022139,10,3,1,0,0,-0.0028251481480624507,10.057089569975481,2.923233734487769,2.3328772821383246,2.9260628808990936,1,1
2023-03-19,BJ's,87037.11931088533,22210.826788187027,10.270394367192232,18.634128139866874,10.26285176677689,18.64361462057633,0.9625436633207712,11,3,1,0,0,-0.0005088326970128509,10.00833514213829,2.924994745674487,2.3292654231245558,2.9255037078707873,1,1
2023-03-26,BJ's,87503.83939999994,21326.0,10.283593586423494,18.570712745006098,10.291037721440233,18.6306881806966,0.9044358998405702,12,3,1,0,0,-0.003219174466815522,9.967682264578125,2.921585756157739,2.330549769605194,2.9248101233137884,1,1
2023-04-02,BJ's,92629.8494,21574.0,10.273517564275751,18.544027069620842,10.26696681618024,18.59593208413734,1.0,13,4,1,0,0,-0.0027912026287066904,9.979244164935375,2.9201477463472387,2.329569473990622,2.9229428516457894,1,1
2023-04-09,BJ's,98654.41819999999,23184.0,10.268137125543666,18.460281228433402,10.267988574672895,18.502758830923874,0.987663906142167,14,4,1,0,0,-0.0022957442659565785,10.051217664560463,2.9156214634350115,2.3290456175694745,2.917919846961988,1,1
2023-04-16,BJ's,89066.93039999997,20474.0,10.225106694107453,18.324653707140765,10.225387152501813,18.329243264752616,0.8480023444368467,15,4,1,0,0,-0.00025039536796789275,9.926911067479717,2.9082473503030686,2.3248461365059607,2.9084977770251905,1,1
2023-04-23,BJ's,98705.82500000001,22366.0,10.162432537939784,18.234389698649736,10.191591601899889,18.258394274215355,0.8030939819368684,16,4,1,0,0,-0.0013147144926932697,10.015297227588134,2.9033093550221745,2.3186978365187865,2.9046249345101978,1,1
2023-04-30,BJ's,117457.18120000005,21678.0,9.864960391996734,18.24318756342836,10.221808153460305,18.269669996992143,0.7931543500322908,17,4,1,0,0,-0.001449529935031224,9.984053200375696,2.903791726144906,2.288989124463653,2.905242307664779,1,1
2023-05-07,BJ's,115949.50980000003,31782.0,9.827046968655436,16.98555660436725,10.21633623553089,18.499211696098513,0.8934617078849664,18,5,1,0,0,-0.08182268069565868,10.366655370772582,2.832363371423992,2.2851384789206572,2.9177281201547016,1,1
2023-05-14,BJ's,118104.05079999992,34240.0,9.821080234355929,17.82518808411215,10.155091142361776,18.14892492319562,0.9751752336448598,19,5,1,0,0,-0.017837797029492952,10.441149830255679,2.880612517948037,2.2845311198150005,2.8986113260747395,1,1
